PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALESCOMIC,2009,JANUARY,1,Amazing Spider-Man,583,3.99,Marvel,352847
COMIC,2009,JANUARY,104,Squadron Supreme 2,7,2.99,Marvel,17686
COMIC,2009,JANUARY,105,Eternals,7,2.99,Marvel,17490
COMIC,2009,JANUARY,106,Ruins,1,4.99,Marvel,16684
COMIC,2009,JANUARY,107,Death Defying Devil,2,3.5,Dynamic,16604
COMIC,2009,JANUARY,108,Tangent Supermans Reign,11,2.99,DC,16364
COMIC,2009,JANUARY,109,Batman Gotham After Midnight,9,2.99,DC,16349
COMIC,2009,JANUARY,110,Bprd Black Goddess,1,2.99,Dark Horse,15979
COMIC,2009,JANUARY,111,Ghost Rider Danny Ketch,4,3.99,Marvel,15950
COMIC,2009,JANUARY,112,Weapon X First Class,3,3.99,Marvel,15427
COMIC,2009,JANUARY,113,Superman Supergirl Maelstrom,5,2.99,DC,15333
COMIC,2009,JANUARY,114,Sgt Rock The Lost Battalion,3,2.99,DC,15325
COMIC,2009,JANUARY,115,Wonderful Wizard Of Oz,2,3.99,Marvel,14999
COMIC,2009,JANUARY,116,World Of Warcraft,15,2.99,DC,14991
COMIC,2009,JANUARY,117,Star Trek Countdown,1,3.99,IDW,14585
COMIC,2009,JANUARY,118,"Anita Blake Vampire Hunter LaughingCorpse",4,3.99,Marvel,14417
COMIC,2009,JANUARY,119,Sub-Mariner Depths,4,3.99,Marvel,14265
COMIC,2009,JANUARY,120,Invincible,58,2.99,Image,14229
COMIC,2009,JANUARY,121,Batman The Brave And The Bold,1,2.5,DC,13931
COMIC,2009,JANUARY,122,Vigilante,2,2.99,DC,13851
COMIC,2009,JANUARY,123,Black Lightning Year One,1,2.99,DC,13800
COMIC,2009,JANUARY,124,Amazing Spider-Girl,28,2.99,Marvel,13786
COMIC,2009,JANUARY,125,Jack Of Fables,30,2.99,DC,13742
COMIC,2009,JANUARY,126,House Of Mystery,9,2.99,DC,13735
COMIC,2009,JANUARY,127,Wolverine First Class,11,2.99,Marvel,12841
COMIC,2009,JANUARY,128,Enders Shadow Battle School,2,3.99,Marvel,12732
