PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,MARCH,156,Incorruptible,4,3.99,Boom,11748
COMIC,2010,MARCH,157,Jonah Hex,53,2.99,DC,11565
COMIC,2010,MARCH,158,Jack of Fables,44,2.99,DC,11473
COMIC,2010,MARCH,159,Rebels,14,2.99,DC,11363
COMIC,2010,MARCH,160,Sword,5,2.99,Marvel,11259
COMIC,2010,MARCH,161,Gi Joe Origins,13,3.99,IDW,11045
COMIC,2010,MARCH,162,Spider-Man Noir Eyes Without a Face,4,3.99,Marvel,10758
COMIC,2010,MARCH,163,Supergod,3,3.99,Avatar,10696
COMIC,2010,MARCH,164,Terminator,1,3.5,Dark Horse,10599
COMIC,2010,MARCH,165,Gi Joe Cobra Ii,3,3.99,IDW,10562
COMIC,2010,MARCH,166,Punisher Max MGC,1,1.0,Marvel,10476
COMIC,2010,MARCH,167,Gft Presents Neverland,1,2.99,Zenescope,10403
COMIC,2010,MARCH,168,Queen Sonja,5,2.99,Dynamic,10391
COMIC,2010,MARCH,169,Hellblazer,265,2.99,DC,10293
COMIC,2010,MARCH,170,Escape from Wonderland,5,2.99,Zenescope,10195
COMIC,2010,MARCH,171,The Mystic Hands of Dr. Strange,1,3.99,Marvel,10146
COMIC,2010,MARCH,172,Angel Special Lorne,,7.99,IDW,10109
COMIC,2010,MARCH,173,X-Men Noir Mark of Cain,4,3.99,Marvel,10073
COMIC,2010,MARCH,174,Daytripper,4,2.99,DC,9871
COMIC,2010,MARCH,175,Breaking Into The Marvel Way,1,3.99,Marvel,9871
COMIC,2010,MARCH,176,God of War,1,3.99,DC,9840
COMIC,2010,MARCH,177,Escape from Wonderland,6,2.99,Zenescope,9767
COMIC,2010,MARCH,178,Sweet Tooth,7,2.99,DC,9718
COMIC,2010,MARCH,179,Mass Effect Redemption,3,3.5,Dark Horse,9644
COMIC,2010,MARCH,180,Cyberforce Hunter Killer,5,2.99,Image,9461
COMIC,2010,MARCH,181,Anita Blake LC Executioner,5,3.99,Marvel,9455
COMIC,2010,MARCH,182,Deathlok,5,3.99,Marvel,9388
COMIC,2010,MARCH,183,Terry Moores Echo,20,3.5,Abstract,9375
COMIC,2010,MARCH,184,House of Mystery,23,2.99,DC,9351
COMIC,2010,MARCH,185,Breaking into The Marvel Way,2,3.99,Marvel,9131
COMIC,2010,MARCH,186,Nemesis The Impostors,1,2.99,DC,9002
COMIC,2010,MARCH,187,Grimm Fairy Tales,45,2.99,Zenescope,8917
COMIC,2010,MARCH,188,Grimm Fairy Tales,44,2.99,Zenescope,8825
COMIC,2010,MARCH,189,Gi Joe Operation Hiss,2,3.99,IDW,8819
COMIC,2010,MARCH,190,Marvel Boy Uranian,3,3.99,Marvel,8819
COMIC,2010,MARCH,191,Transformers Nefarious,1,3.99,IDW,8813
COMIC,2010,MARCH,192,Halo Blood Line,4,3.99,Marvel,8684
COMIC,2010,MARCH,193,Fathom,10,2.99,Aspen,8605
COMIC,2010,MARCH,194,Transformers Bumblebee,4,3.99,IDW,8599
COMIC,2010,MARCH,195,"Lockjaw And The Pet AvengersUnleashed",1,2.99,Marvel,8556
COMIC,2010,MARCH,196,Warlord,12,2.99,DC,8427
COMIC,2010,MARCH,197,Human Target,2,2.99,DC,8403
COMIC,2010,MARCH,198,Angel,30,3.99,IDW,8348
COMIC,2010,MARCH,199,RASL,7,3.5,Cartoon,8299
COMIC,2010,MARCH,200,Sparta Usa,1,2.99,DC,8213
COMIC,2010,MARCH,201,Madame Xanadu,21,2.99,DC,8189
COMIC,2010,MARCH,202,Red Sonja Wrath of the Gods,2,3.99,Dynamic,8152
COMIC,2010,MARCH,203,Magog,7,2.99,DC,8122
COMIC,2010,MARCH,204,Tarot Witch of the Black Rose,61,2.95,Broadsword,8097
COMIC,2010,MARCH,205,Invincible Iron Man Mgc,1,10.0,Marvel,8060
COMIC,2010,MARCH,206,Sonic The Hedgehog,210,2.5,Archie,7926
COMIC,2010,MARCH,207,Executive Assistant Iris,4,2.99,Aspen,7883
COMIC,2010,MARCH,208,Tiny Titans,26,2.5,DC,7877
COMIC,2010,MARCH,209,"Transformers Last Stand of theWreckers",3,3.99,IDW,7853
COMIC,2010,MARCH,210,Darkness,83,2.99,Image,7834
COMIC,2010,MARCH,211,Northlanders,26,2.99,DC,7822
COMIC,2010,MARCH,212,Sonic The Hedgehog,211,2.5,Archie,7785
COMIC,2010,MARCH,213,Authority,20,2.99,DC,7779
COMIC,2010,MARCH,214,Black Terror,9,3.5,Dynamic,7669
COMIC,2010,MARCH,215,Talisman Road of Trials,5,3.99,Random House,7498
COMIC,2010,MARCH,216,Angel Hole in the World,4,3.99,IDW,7486
COMIC,2010,MARCH,217,Simpsons,164,2.99,Bongo,7351
COMIC,2010,MARCH,218,Sword,22,2.99,Image,7296
COMIC,2010,MARCH,219,Milestone Forever,2,5.99,DC,7223
COMIC,2010,MARCH,220,Choker,2,3.99,Image,7161
COMIC,2010,MARCH,221,Sword,23,2.99,Image,7113
COMIC,2010,MARCH,222,Locke & Key Crown of Shadows,4,3.99,IDW,7009
COMIC,2010,MARCH,223,Doctor Who Ongoing,9,3.99,IDW,6990
COMIC,2010,MARCH,224,Authority The Lost Year,7,2.99,DC,6941
COMIC,2010,MARCH,225,Soulfire Volume Two,3,2.99,Aspen,6929
COMIC,2010,MARCH,226,Solomon Kane Deaths Black Riders,3,3.5,Dark Horse,6899
COMIC,2010,MARCH,227,Waking,1,3.99,Zenescope,6892
COMIC,2010,MARCH,228,Groo Hogs of Horder,4,3.99,Dark Horse,6868
COMIC,2010,MARCH,229,DMZ,51,2.99,DC,6837
COMIC,2010,MARCH,230,Siege,2,3.99,Marvel,6782
COMIC,2010,MARCH,231,Supernatural Beginning's End,3,2.99,DC,6764
COMIC,2010,MARCH,232,Scalped,36,2.99,DC,6648
COMIC,2010,MARCH,233,Sonic Universe,14,2.5,Archie,6617
COMIC,2010,MARCH,234,Greek Street,9,2.99,DC,6605
COMIC,2010,MARCH,235,Demo Vol. 2,2,2.99,DC,6574
COMIC,2010,MARCH,236,Great Ten,5,2.99,DC,6556
COMIC,2010,MARCH,237,Wildcats,21,2.99,DC,6489
COMIC,2010,MARCH,238,Complete Alice in Wonderland,3,4.99,Dynamic,6452
COMIC,2010,MARCH,239,A-Team Shotgun Wedding,1,3.99,IDW,6440
COMIC,2010,MARCH,240,Waking,2,3.99,Zenescope,6434
COMIC,2010,MARCH,241,Iron Man 2 Spotlight,1,3.99,Marvel,6373
COMIC,2010,MARCH,242,Do Androids Dream of Electric Sheep,9,3.99,Boom,6360
COMIC,2010,MARCH,243,Victorian Undead,5,2.99,DC,6287
COMIC,2010,MARCH,244,Batman The Brave And The Bold,15,2.5,DC,6207
COMIC,2010,MARCH,245,Robert Jordan Wheel of Time,1,3.99,Dynamic,6122
COMIC,2010,MARCH,246,Do Androids Dream of Electric Sheep,10,3.99,Boom,6091
COMIC,2010,MARCH,247,Futurama,48,2.99,Bongo,6024
COMIC,2010,MARCH,248,WWE Heroes,1,3.99,Titan,5926
COMIC,2010,MARCH,249,Garth Ennis Battlefields,4,3.5,Dynamic,5804
COMIC,2010,MARCH,250,Street Fighter Legends Ibuki,1,3.95,Udon,5804
COMIC,2010,MARCH,251,Zorro,20,3.5,Dynamic,5663
COMIC,2010,MARCH,252,Conan Legacy Frazetta Cover,4,6.99,Dark Horse,5651
COMIC,2010,MARCH,253,Hack Slash Series,30,3.5,Devil's Due,5645
COMIC,2010,MARCH,254,Star Trek Movie Adaptation,2,3.99,IDW,5620
COMIC,2010,MARCH,255,Unknown Soldier,18,2.99,DC,5608
COMIC,2010,MARCH,256,Farscape Ongoing,5,3.99,Boom,5596
COMIC,2010,MARCH,257,Savage Dragon,158,3.5,Image,5578
COMIC,2010,MARCH,258,Shield,7,3.99,DC,5565
COMIC,2010,MARCH,259,Super Hero Squad,3,2.99,Marvel,5400
COMIC,2010,MARCH,260,Jericho Season 3,3,3.99,Devil's Due,5394
COMIC,2010,MARCH,261,Star Trek The Next Generation Ghosts,5,3.99,IDW,5357
COMIC,2010,MARCH,262,Air,19,2.99,DC,5266
