ID, TITLE, ISSUENUMBER, EST_SALES, MONTH_RANK, DESCR, CHARACTERS, CREATORS, REL_EVENTS, DATE_INFO, PRICE_INFO
51201,1602 Witch Hunter Angela (2015) #4,4,19545,117,"� Spurred by revenge, Angela races to meet Enchantress's endgame as the gates of Faerie are wrenched open! � The dead walk and speak (and tell terrible jokes), and Kieron and Kody Chamberlain lead the revels, as Angela embarks on the Wild Hunt for Serah's soul! ",, | writer:Marguerite Bennett | writer:Kieron Gillen | penciller (cover):Stephanie Hans,, | onsaleDate:2015-10-07T00:00:00-0400 | focDate:2015-09-23T00:00:00-0400, | printPrice:3.99  
52072,1872 (2015) #1,1,42805,45,"SHERIFF STEVE ROGERS faces corruption and fear in the boom town of TIMELY. The only thing ANTHONY STARK seems capable of is pulling a cork, so can he pull Rogers' fat from the fire? But...a stranger comes to town that will change Timely forever...for anyone left standing, that is.",, | writer:Gerry Duggan | penciller (cover):Alex Maleev | penciller:Nik Virella,, | onsaleDate:2015-07-08T00:00:00-0400 | focDate:2015-06-24T00:00:00-0400, | printPrice:3.99 
52074,1872 (2015) #2,2,27791,77,"DEAD MAN'S HAND! BULLSEYE! ELEKTRA! GRIZZLY! DOC OCK! 'NUFF SAID, PARTNER!",, | editor:Jacob Thomas,, | onsaleDate:2015-08-19T00:00:00-0400 | focDate:2015-08-05T00:00:00-0400, | printPrice:3.99 
52075,1872 (2015) #3,3,24943,86,Fisk and his men are triumphant-but have they let their guard down? Just what concoction is timid Dr. Banner cooking up in his apothecary? You cannot miss the shocking last page as a hero is reborn.,, | writer:Gerry Duggan | penciller (cover):Leonard Kirk | artist:Nik Virella,, | onsaleDate:2015-09-23T00:00:00-0400 | focDate:2015-09-09T00:00:00-0400, | printPrice:3.99 
52076,1872 (2015) #4,4,22467,103,"IT'S HIGH NOON IN TIMELY! Will justice stand tall, or die in the street? Timid Dr. Banner comes out of his shell. Red Wolf's fate is finally revealed...",, | writer:Gerry Duggan | penciller (cover):Leonard Kirk | artist:Nik Virella,, | onsaleDate:2015-10-21T00:00:00-0400 | focDate:2015-10-07T00:00:00-0400, | printPrice:3.99 
51202,A-Force (2015) #1,1,114528,6,"Marvel's Mightiest Women finally get their own explosive series! In a secluded corner of the Battleworld, an island nation is fiercely protected by a team of Avengers the likes of which has only ever been glimpsed before... Fighting to protect the small sliver of their world that's left, the Amazing A-FORCE stands shoulder-to-shoulder, ready to take on the horde! ",, | writer:Marguerite Bennett | writer:G. Willow Wilson | penciller (cover):Jim Cheung | artist:Jorge Molina, | Secret Wars (2015), | onsaleDate:2015-05-20T00:00:00-0400 | focDate:2015-05-06T00:00:00-0400 | unlimitedDate:2015-11-16T00:00:00-0500 | digitalPurchaseDate:2015-05-20T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99 
51204,A-Force (2015) #2,2,60330,24,"With monsters appearing on the utopian island of Arcadia and threatening its inhabitants, She-Hulk and her team of Avengers set out to discover the source. But when they stumble upon a conspiracy that reaches far beyond Arcadia, She-Hulk may just find herself on the wrong side of the law!",, | writer:Marguerite Bennett | writer:G. Willow Wilson | penciller (cover):Jorge Molina, | Secret Wars (2015), | onsaleDate:2015-07-01T00:00:00-0400 | focDate:2015-06-08T00:00:00-0400, | printPrice:3.99 
51205,A-Force (2015) #3,3,49074,27,"She-Hulk has violated the most sacred rule of Battleworld...and now A-Force is on the run from the planet's protectors: The Thor Corps! And while trying to prove her innocence, She-Hulk discovers that one of her own may have engineered her downfall...",, | writer:Marguerite Bennett | writer:G. Willow Wilson | editor:Daniel Ketchum | penciller:Jorge Molina, | Secret Wars (2015), | onsaleDate:2015-08-12T00:00:00-0400 | focDate:2015-07-29T00:00:00-0400, | printPrice:3.99 
51206,A-Force (2015) #4,4,46636,19,"With the fate of Arcadia hanging in the balance, a traitor in A-FORCE's ranks is revealed! But why would she sell out her teammates?",, | writer:Marguerite Bennett | writer:G. Willow Wilson | penciller (cover):Jorge Molina, | Secret Wars (2015), | onsaleDate:2015-09-09T00:00:00-0400 | focDate:2015-08-26T00:00:00-0400, | printPrice:3.99 
51207,A-Force (2015) #5,5,41337,50,"� The EXPLOSIVE finale to the first adventure of Marvel�s mightiest team of Avengers: A-FORCE! � Though She-Hulk and her team have unmasked the traitor in their midst, the villain won�t rest until their utopian island is RAZED. � As the horrors of Battleworld bear down on Arcadia, what sacrifices will the members of A-Force make to save their home�and each other? ",, | writer:Marguerite Bennett | writer:G. Willow Wilson | penciller (cover):Jorge Molina, | Secret Wars (2015), | onsaleDate:2015-10-14T00:00:00-0400 | focDate:2015-09-30T00:00:00-0400, | printPrice:3.99  
